DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
20210909,0.1500,0.1500,0.1500,0.1500,0
20210910,0.1400,0.1400,0.1400,0.1400,0
20210913,0.1400,0.1400,0.1400,0.1400,0
20210914,0.1400,0.1400,0.1400,0.1400,0
20210915,0.1500,0.1500,0.1500,0.1500,0
20210916,0.1300,0.1300,0.1300,0.1300,0
20210917,0.1200,0.1200,0.1200,0.1200,0
20210920,0.1200,0.1200,0.1200,0.1200,0
20210921,0.1200,0.1200,0.1200,0.1200,0
20210922,0.1200,0.1200,0.1200,0.1200,0
20210923,0.1200,0.1200,0.1200,0.1200,0
20210924,0.1200,0.1200,0.1200,0.1200,0
20210927,0.1300,0.1300,0.1300,0.1300,0
20210928,0.1400,0.1400,0.1400,0.1400,0
20210929,0.1200,0.1200,0.1200,0.1200,0
20211001,0.1200,0.1200,0.1200,0.1200,0
20211004,0.1200,0.1200,0.1200,0.1200,0
20211005,0.1200,0.1200,0.1200,0.1200,0
20211006,0.1200,0.1200,0.1200,0.1200,0
20211007,0.1100,0.1100,0.1100,0.1100,0
20211008,0.1200,0.1200,0.1200,0.1200,0
20211012,0.1200,0.1200,0.1200,0.1200,0
20211013,0.1100,0.1100,0.1100,0.1100,0
20211014,0.1200,0.1200,0.1200,0.1200,0
20211015,0.1200,0.1200,0.1200,0.1200,0
20211018,0.1100,0.1100,0.1100,0.1100,0
20211019,0.1200,0.1200,0.1200,0.1200,0
20211020,0.1200,0.1200,0.1200,0.1200,0
20211021,0.1200,0.1200,0.1200,0.1200,0
20211022,0.1200,0.1200,0.1200,0.1200,0
20211025,0.1200,0.1200,0.1200,0.1200,0
20211026,0.1200,0.1200,0.1200,0.1200,0
20211027,0.1300,0.1300,0.1300,0.1300,0
20211028,0.1400,0.1400,0.1400,0.1400,0
20211029,0.1400,0.1400,0.1400,0.1400,0
20211101,0.1400,0.1400,0.1400,0.1400,0
20211102,0.1400,0.1400,0.1400,0.1400,0
20211103,0.1400,0.1400,0.1400,0.1400,0
20211104,0.1400,0.1400,0.1400,0.1400,0
20211105,0.1400,0.1400,0.1400,0.1400,0
20211108,0.1400,0.1400,0.1400,0.1400,0
20211109,0.1400,0.1400,0.1400,0.1400,0
20211110,0.1300,0.1300,0.1300,0.1300,0
20211112,0.1200,0.1200,0.1200,0.1200,0
20211115,0.1200,0.1200,0.1200,0.1200,0
20211116,0.1200,0.1200,0.1200,0.1200,0
20211117,0.1100,0.1100,0.1100,0.1100,0
20211118,0.1200,0.1200,0.1200,0.1200,0
20211119,0.1100,0.1100,0.1100,0.1100,0
20211122,0.0900,0.0900,0.0900,0.0900,0
20211123,0.0900,0.0900,0.0900,0.0900,0
20211124,0.0900,0.0900,0.0900,0.0900,0
20211125,0.0900,0.0900,0.0900,0.0900,0
20211126,0.0800,0.0800,0.0800,0.0800,0
20211129,0.0800,0.0800,0.0800,0.0800,0
20211130,0.0600,0.0600,0.0600,0.0600,0
20211201,0.0400,0.0400,0.0400,0.0400,0
20211202,0.0400,0.0400,0.0400,0.0400,0
20211203,0.0300,0.0300,0.0300,0.0300,0
20211206,0.0300,0.0300,0.0300,0.0300,0
20211207,0.0100,0.0100,0.0100,0.0100,0
20211208,0.0300,0.0300,0.0300,0.0300,0
20211209,0.0200,0.0200,0.0200,0.0200,0
20211210,0.0000,0.0000,0.0000,0.0000,0
20211213,0.0100,0.0100,0.0100,0.0100,0
20211214,0.0300,0.0300,0.0300,0.0300,0
20211215,0.0400,0.0400,0.0400,0.0400,0
20211216,0.0400,0.0400,0.0400,0.0400,0
20211217,0.0500,0.0500,0.0500,0.0500,0
