DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
20210909,0.0470,0.0470,0.0470,0.0470,0
20210910,0.0510,0.0510,0.0510,0.0510,0
20210913,0.0510,0.0510,0.0510,0.0510,0
20210914,0.0510,0.0510,0.0510,0.0510,0
20210915,0.0410,0.0410,0.0410,0.0410,0
20210916,0.0520,0.0520,0.0520,0.0520,0
20210917,0.0570,0.0570,0.0570,0.0570,0
20210921,0.0470,0.0470,0.0470,0.0470,0
20210922,0.0440,0.0440,0.0440,0.0440,0
20210924,0.0630,0.0630,0.0630,0.0630,0
20210927,0.0630,0.0630,0.0630,0.0630,0
20210928,0.0840,0.0840,0.0840,0.0840,0
20210929,0.0800,0.0800,0.0800,0.0800,0
20210930,0.0810,0.0810,0.0810,0.0810,0
20211001,0.0640,0.0640,0.0640,0.0640,0
20211004,0.0590,0.0590,0.0590,0.0590,0
20211005,0.0620,0.0620,0.0620,0.0620,0
20211006,0.0830,0.0830,0.0830,0.0830,0
20211007,0.0730,0.0730,0.0730,0.0730,0
20211008,0.0830,0.0830,0.0830,0.0830,0
20211011,0.0930,0.0930,0.0930,0.0930,0
20211012,0.0930,0.0930,0.0930,0.0930,0
20211013,0.0880,0.0880,0.0880,0.0880,0
20211014,0.0840,0.0840,0.0840,0.0840,0
20211015,0.0790,0.0790,0.0790,0.0790,0
20211018,0.0940,0.0940,0.0940,0.0940,0
20211019,0.0900,0.0900,0.0900,0.0900,0
20211020,0.0950,0.0950,0.0950,0.0950,0
20211021,0.0900,0.0900,0.0900,0.0900,0
20211022,0.0950,0.0950,0.0950,0.0950,0
20211025,0.1000,0.1000,0.1000,0.1000,0
20211026,0.1040,0.1040,0.1040,0.1040,0
20211027,0.1010,0.1010,0.1010,0.1010,0
20211028,0.0910,0.0910,0.0910,0.0910,0
20211029,0.1010,0.1010,0.1010,0.1010,0
20211101,0.0970,0.0970,0.0970,0.0970,0
20211102,0.0870,0.0870,0.0870,0.0870,0
20211104,0.0810,0.0810,0.0810,0.0810,0
20211105,0.0670,0.0670,0.0670,0.0670,0
20211108,0.0620,0.0620,0.0620,0.0620,0
20211109,0.0680,0.0680,0.0680,0.0680,0
20211110,0.0620,0.0620,0.0620,0.0620,0
20211111,0.0720,0.0720,0.0720,0.0720,0
20211112,0.0780,0.0780,0.0780,0.0780,0
20211115,0.0720,0.0720,0.0720,0.0720,0
20211116,0.0780,0.0780,0.0780,0.0780,0
20211117,0.0790,0.0790,0.0790,0.0790,0
20211118,0.0890,0.0890,0.0890,0.0890,0
20211119,0.0830,0.0830,0.0830,0.0830,0
20211122,0.0790,0.0790,0.0790,0.0790,0
20211124,0.0910,0.0910,0.0910,0.0910,0
20211125,0.0900,0.0900,0.0900,0.0900,0
20211126,0.0790,0.0790,0.0790,0.0790,0
20211129,0.0810,0.0810,0.0810,0.0810,0
