DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
20210909,0.0136,0.0136,0.0136,0.0136,0
20210910,0.0052,0.0052,0.0052,0.0052,0
20210913,0.0063,0.0063,0.0063,0.0063,0
20210914,0.0013,0.0013,0.0013,0.0013,0
20210915,0.0015,0.0015,0.0015,0.0015,0
20210916,0.0027,0.0027,0.0027,0.0027,0
20210917,0.0013,0.0013,0.0013,0.0013,0
20210920,-0.0007,-0.0007,-0.0007,-0.0007,0
20210921,0.0037,0.0037,0.0037,0.0037,0
20210922,0.0102,0.0102,0.0102,0.0102,0
20210923,0.0498,0.0498,0.0498,0.0498,0
20210924,0.0511,0.0511,0.0511,0.0511,0
20210927,0.0402,0.0402,0.0402,0.0402,0
20210928,0.0460,0.0460,0.0460,0.0460,0
20210929,0.0430,0.0430,0.0430,0.0430,0
20210930,0.0445,0.0445,0.0445,0.0445,0
20211001,0.0685,0.0685,0.0685,0.0685,0
20211004,0.0676,0.0676,0.0676,0.0676,0
20211005,0.0970,0.0970,0.0970,0.0970,0
20211006,0.1306,0.1306,0.1306,0.1306,0
20211007,0.1335,0.1335,0.1335,0.1335,0
20211008,0.1538,0.1538,0.1538,0.1538,0
20211011,0.2094,0.2094,0.2094,0.2094,0
20211012,0.2011,0.2011,0.2011,0.2011,0
20211013,0.2340,0.2340,0.2340,0.2340,0
20211014,0.2076,0.2076,0.2076,0.2076,0
20211015,0.2194,0.2194,0.2194,0.2194,0
20211018,0.3348,0.3348,0.3348,0.3348,0
20211019,0.3319,0.3319,0.3319,0.3319,0
20211020,0.3004,0.3004,0.3004,0.3004,0
20211021,0.3036,0.3036,0.3036,0.3036,0
20211022,0.2816,0.2816,0.2816,0.2816,0
20211025,0.2525,0.2525,0.2525,0.2525,0
20211026,0.2443,0.2443,0.2443,0.2443,0
20211027,0.2256,0.2256,0.2256,0.2256,0
20211028,0.2303,0.2303,0.2303,0.2303,0
20211029,0.2249,0.2249,0.2249,0.2249,0
20211101,0.1618,0.1618,0.1618,0.1618,0
20211102,0.1382,0.1382,0.1382,0.1382,0
20211103,0.1665,0.1665,0.1665,0.1665,0
20211104,0.0546,0.0546,0.0546,0.0546,0
20211105,0.0594,0.0594,0.0594,0.0594,0
20211108,0.0915,0.0915,0.0915,0.0915,0
20211109,0.1052,0.1052,0.1052,0.1052,0
20211110,0.1500,0.1500,0.1500,0.1500,0
20211111,0.1199,0.1199,0.1199,0.1199,0
20211112,0.1063,0.1063,0.1063,0.1063,0
20211115,0.1001,0.1001,0.1001,0.1001,0
20211116,0.1121,0.1121,0.1121,0.1121,0
20211117,0.1108,0.1108,0.1108,0.1108,0
20211118,0.0948,0.0948,0.0948,0.0948,0
20211119,0.0682,0.0682,0.0682,0.0682,0
20211122,0.0706,0.0706,0.0706,0.0706,0
20211123,0.0721,0.0721,0.0721,0.0721,0
20211124,0.0797,0.0797,0.0797,0.0797,0
20211125,0.0783,0.0783,0.0783,0.0783,0
20211126,0.0222,0.0222,0.0222,0.0222,0
20211129,0.0487,0.0487,0.0487,0.0487,0
20211130,0.0422,0.0422,0.0422,0.0422,0
20211201,0.0659,0.0659,0.0659,0.0659,0
20211202,0.0637,0.0637,0.0637,0.0637,0
20211203,0.0485,0.0485,0.0485,0.0485,0
20220120,0.4673,0.4673,0.4673,0.4673,0
20220121,0.4625,0.4625,0.4625,0.4625,0
20220124,0.4693,0.4693,0.4693,0.4693,0
20220125,0.4694,0.4694,0.4694,0.4694,0
20220126,0.4716,0.4716,0.4716,0.4716,0
20220127,0.4979,0.4979,0.4979,0.4979,0
20220128,0.5214,0.5214,0.5214,0.5214,0
20220131,0.6050,0.6050,0.6050,0.6050,0
20220201,0.6121,0.6121,0.6121,0.6121,0
20220202,0.6018,0.6018,0.6018,0.6018,0
20220203,0.7360,0.7360,0.7360,0.7360,0
20220204,0.8179,0.8179,0.8179,0.8179,0
20220207,0.8088,0.8088,0.8088,0.8088,0
20220208,0.8128,0.8128,0.8128,0.8128,0
20220209,0.7831,0.7831,0.7831,0.7831,0
20220210,0.7456,0.7456,0.7456,0.7456,0
20220211,0.7461,0.7461,0.7461,0.7461,0
20220214,0.7676,0.7676,0.7676,0.7676,0
20220215,0.7783,0.7783,0.7783,0.7783,0
20220216,0.7042,0.7042,0.7042,0.7042,0
20220217,0.6810,0.6810,0.6810,0.6810,0
20220218,0.6710,0.6710,0.6710,0.6710,0
20220221,0.6786,0.6786,0.6786,0.6786,0
20220222,0.6848,0.6848,0.6848,0.6848,0
20220223,0.6505,0.6505,0.6505,0.6505,0
20220224,0.6221,0.6221,0.6221,0.6221,0
20220225,0.5939,0.5939,0.5939,0.5939,0
20220228,0.5601,0.5601,0.5601,0.5601,0
20220301,0.5306,0.5306,0.5306,0.5306,0
20220302,0.6734,0.6734,0.6734,0.6734,0
20220303,0.6872,0.6872,0.6872,0.6872,0
20220304,0.6781,0.6781,0.6781,0.6781,0
20220307,0.6996,0.6996,0.6996,0.6996,0
20220308,0.7205,0.7205,0.7205,0.7205,0
20220309,0.7151,0.7151,0.7151,0.7151,0
20220310,0.6968,0.6968,0.6968,0.6968,0
20220311,0.7156,0.7156,0.7156,0.7156,0
20220314,0.7267,0.7267,0.7267,0.7267,0
20220315,0.7446,0.7446,0.7446,0.7446,0
20220316,0.7642,0.7642,0.7642,0.7642,0
20220317,0.6661,0.6661,0.6661,0.6661,0
20220318,0.6532,0.6532,0.6532,0.6532,0
20220321,0.6876,0.6876,0.6876,0.6876,0
20220322,0.7635,0.7635,0.7635,0.7635,0
20220323,0.7857,0.7857,0.7857,0.7857,0
20220324,0.7899,0.7899,0.7899,0.7899,0
20220325,0.8316,0.8316,0.8316,0.8316,0
20220328,0.8160,0.8160,0.8160,0.8160,0
20220329,0.8129,0.8129,0.8129,0.8129,0
20220330,0.8131,0.8131,0.8131,0.8131,0
20220331,0.8114,0.8114,0.8114,0.8114,0
20220401,0.8368,0.8368,0.8368,0.8368,0
20220404,0.8803,0.8803,0.8803,0.8803,0
20220405,0.9495,0.9495,0.9495,0.9495,0
20220406,0.9865,0.9865,0.9865,0.9865,0
20220407,0.9935,0.9935,0.9935,0.9935,0
20220408,1.0007,1.0007,1.0007,1.0007,0
20220411,1.0166,1.0166,1.0166,1.0166,0
20220412,0.9964,0.9964,0.9964,0.9964,0
20220413,1.0056,1.0056,1.0056,1.0056,0
20220414,1.0410,1.0410,1.0410,1.0410,0
20220419,1.0641,1.0641,1.0641,1.0641,0
20220420,1.0596,1.0596,1.0596,1.0596,0
20220421,1.1746,1.1746,1.1746,1.1746,0
20220422,1.1424,1.1424,1.1424,1.1424,0
20220425,1.0754,1.0754,1.0754,1.0754,0
20220426,1.0724,1.0724,1.0724,1.0724,0
20220427,1.0931,1.0931,1.0931,1.0931,0
20220428,1.1244,1.1244,1.1244,1.1244,0
20220429,1.1608,1.1608,1.1608,1.1608,0
20220503,1.1891,1.1891,1.1891,1.1891,0
20220504,1.2180,1.2180,1.2180,1.2180,0
20220505,1.1269,1.1269,1.1269,1.1269,0
20220506,1.1311,1.1311,1.1311,1.1311,0
20220509,1.0866,1.0866,1.0866,1.0866,0
20220510,1.0828,1.0828,1.0828,1.0828,0
20220511,1.1279,1.1279,1.1279,1.1279,0
20220512,1.1017,1.1017,1.1017,1.1017,0
20220513,1.1243,1.1243,1.1243,1.1243,0
20220516,1.1090,1.1090,1.1090,1.1090,0
20220517,1.1995,1.1995,1.1995,1.1995,0
20220518,1.1944,1.1944,1.1944,1.1944,0
20220519,1.2113,1.2113,1.2113,1.2113,0
20220520,1.2295,1.2295,1.2295,1.2295,0
20220523,1.2688,1.2688,1.2688,1.2688,0
20220524,1.1926,1.1926,1.1926,1.1926,0
20220525,1.2024,1.2024,1.2024,1.2024,0
20220526,1.2239,1.2239,1.2239,1.2239,0
20220527,1.2169,1.2169,1.2169,1.2169,0
20220530,1.2491,1.2491,1.2491,1.2491,0
