DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
20210908,0.2700,0.2700,0.2700,0.2700,0
20210909,0.2600,0.2600,0.2600,0.2600,0
20210910,0.2700,0.2700,0.2700,0.2700,0
20210913,0.2600,0.2600,0.2600,0.2600,0
20210914,0.2700,0.2700,0.2700,0.2700,0
20210915,0.2800,0.2800,0.2800,0.2800,0
20210916,0.2700,0.2700,0.2700,0.2700,0
20210917,0.2700,0.2700,0.2700,0.2700,0
20210920,0.2600,0.2600,0.2600,0.2600,0
20210921,0.2600,0.2600,0.2600,0.2600,0
20210922,0.2600,0.2600,0.2600,0.2600,0
20210923,0.2700,0.2700,0.2700,0.2700,0
20210924,0.2800,0.2800,0.2800,0.2800,0
20210927,0.2900,0.2900,0.2900,0.2900,0
20210928,0.3100,0.3100,0.3100,0.3100,0
20210929,0.2900,0.2900,0.2900,0.2900,0
20211001,0.2800,0.2800,0.2800,0.2800,0
20211004,0.2600,0.2600,0.2600,0.2600,0
20211005,0.2900,0.2900,0.2900,0.2900,0
20211006,0.2900,0.2900,0.2900,0.2900,0
20211007,0.3000,0.3000,0.3000,0.3000,0
20211008,0.3400,0.3400,0.3400,0.3400,0
20211012,0.3900,0.3900,0.3900,0.3900,0
20211013,0.4100,0.4100,0.4100,0.4100,0
20211014,0.3800,0.3800,0.3800,0.3800,0
20211015,0.4300,0.4300,0.4300,0.4300,0
20211018,0.4700,0.4700,0.4700,0.4700,0
20211019,0.5000,0.5000,0.5000,0.5000,0
20211020,0.4800,0.4800,0.4800,0.4800,0
20211021,0.5100,0.5100,0.5100,0.5100,0
20211022,0.5200,0.5200,0.5200,0.5200,0
20211025,0.5200,0.5200,0.5200,0.5200,0
20211026,0.5200,0.5200,0.5200,0.5200,0
20211027,0.7100,0.7100,0.7100,0.7100,0
20211028,0.7000,0.7000,0.7000,0.7000,0
20211029,0.7200,0.7200,0.7200,0.7200,0
20211101,0.7200,0.7200,0.7200,0.7200,0
20211102,0.7200,0.7200,0.7200,0.7200,0
20211103,0.7200,0.7200,0.7200,0.7200,0
20211104,0.6600,0.6600,0.6600,0.6600,0
20211105,0.6500,0.6500,0.6500,0.6500,0
20211108,0.6500,0.6500,0.6500,0.6500,0
20211109,0.6200,0.6200,0.6200,0.6200,0
20211110,0.6600,0.6600,0.6600,0.6600,0
20211112,0.7000,0.7000,0.7000,0.7000,0
20211115,0.7100,0.7100,0.7100,0.7100,0
20211116,0.7300,0.7300,0.7300,0.7300,0
20211117,0.7100,0.7100,0.7100,0.7100,0
20211118,0.7200,0.7200,0.7200,0.7200,0
20211119,0.7100,0.7100,0.7100,0.7100,0
20211122,0.7400,0.7400,0.7400,0.7400,0
20211123,0.7600,0.7600,0.7600,0.7600,0
20211124,0.7500,0.7500,0.7500,0.7500,0
20211125,0.7400,0.7400,0.7400,0.7400,0
20211126,0.6600,0.6600,0.6600,0.6600,0
20211129,0.6500,0.6500,0.6500,0.6500,0
20211130,0.6900,0.6900,0.6900,0.6900,0
20211201,0.6800,0.6800,0.6800,0.6800,0
20211202,0.6900,0.6900,0.6900,0.6900,0
20211203,0.7400,0.7400,0.7400,0.7400,0
20211206,0.7800,0.7800,0.7800,0.7800,0
20211207,0.8400,0.8400,0.8400,0.8400,0
20211208,0.8100,0.8100,0.8100,0.8100,0
20211209,0.7100,0.7100,0.7100,0.7100,0
20211210,0.6800,0.6800,0.6800,0.6800,0
20211213,0.6600,0.6600,0.6600,0.6600,0
