DATE,Y10_FIT,RNY10,TP10
20210909,1.0947,1.2367,-0.1419
20210910,1.1488,1.2342,-0.0855
20210913,1.1397,1.2325,-0.0928
20210914,1.0905,1.2422,-0.1518
20210915,1.1407,1.242,-0.1013
20210916,1.1593,1.245,-0.0857
20210917,1.2159,1.2408,-0.025
20210920,1.1482,1.2452,-0.097
20210921,1.1482,1.2452,-0.097
20210922,1.1744,1.2463,-0.0719
20210923,1.287,1.2395,0.0475
20210924,1.3327,1.2378,0.095
20210927,1.3657,1.2349,0.1308
20210928,1.4362,1.2266,0.2096
20210929,1.4528,1.228,0.2247
20211001,1.4106,1.2258,0.1847
20211004,1.4324,1.2162,0.2163
20211005,1.4621,1.2217,0.2404
20211006,1.4342,1.252,0.1822
20211007,1.4875,1.2558,0.2317
20211008,1.551,1.2724,0.2786
20211012,1.555,1.3097,0.2453
20211013,1.5522,1.333,0.2192
20211014,1.4714,1.314,0.1574
20211015,1.5144,1.3363,0.1781
20211018,1.5211,1.3754,0.1457
20211019,1.5627,1.3795,0.1832
20211020,1.5603,1.3589,0.2014
20211021,1.6113,1.3831,0.2282
20211022,1.586,1.3916,0.1944
20211025,1.5863,1.3885,0.1979
20211026,1.5655,1.3969,0.1686
20211027,1.5348,1.5378,-0.003
20211028,1.5808,1.5025,0.0783
20211029,1.6502,1.5229,0.1273
20211101,1.6634,1.5175,0.1458
20211102,1.6373,1.5122,0.1252
20211103,1.625,1.5134,0.1116
20211104,1.562,1.4882,0.0738
20211105,1.5199,1.4738,0.0461
20211108,1.5632,1.4767,0.0865
20211109,1.5312,1.4627,0.0684
20211110,1.6241,1.4855,0.1385
20211112,1.5937,1.5051,0.0887
20211115,1.6374,1.507,0.1304
20211116,1.7005,1.5209,0.1796
20211117,1.6219,1.5124,0.1095
20211118,1.6111,1.5097,0.1014
20211119,1.5824,1.5104,0.072
20211122,1.6865,1.5277,0.1588
20211123,1.7248,1.526,0.1989
20211124,1.6927,1.5291,0.1636
20211125,1.6971,1.5218,0.1752
20211126,1.5215,1.4867,0.0349
20211129,1.5463,1.4843,0.0621
20211130,1.5081,1.5161,-0.0081
20211201,1.4307,1.5217,-0.0911
20211202,1.422,1.529,-0.107
20211203,1.3767,1.5693,-0.1926
20211206,1.4368,1.5902,-0.1534
20211207,1.4932,1.631,-0.1379
20211208,1.4658,1.6144,-0.1486
20211209,1.4145,1.5581,-0.1437
20211210,1.384,1.5404,-0.1564
20211213,1.3126,1.5302,-0.2175
20211214,1.3548,1.5356,-0.1809
20211215,1.3252,1.545,-0.2198
20211216,1.2569,1.5374,-0.2805
20211217,1.2295,1.5512,-0.3218
20211220,1.2837,1.5524,-0.2687
20211221,1.3413,1.5821,-0.2407
20211222,1.3185,1.5723,-0.2538
20211223,1.3378,1.573,-0.2352
20211224,1.3687,1.5598,-0.191
20211229,1.3842,1.5608,-0.1766
20211230,1.359,1.5663,-0.2073
20211231,1.3263,1.5627,-0.2364
